id,tier,stage,status,gate,threshold,unit,measured,outcome,artifacts,note,explain
G16,closed_form,1,PENDING,the types cannot be read off position,spatial-cell purity within 20% of a label-permutation null,multiple of chance,1.13123,PASS,/workspace/Plexus/prototype/graphcast/log/toy_counter_noed_simple_p1_free/G16_toy.png /workspace/Plexus/prototype/graphcast/log/toy_counter_noed_simple_p1_free/G16_state.mp4,"worst over 2:1.13, 4:1.03, 8:1.06, 16:1.04, 32:1.01","G11 asks whether the embedding recovers the node types. That is only a real test if the types cannot be read off position, because position is free information the model already has. The toy assigns types by a permutation independent of position and this measures that it worked, as the purity of a spatial cell against a LABEL-PERMUTATION null so that 1.0 is chance at any resolution. The null is empirical rather than 1/n_types, and that matters: at 32 cells per axis there are 1024 cells for 1024 nodes, so almost every occupied cell holds one node and its purity is 1.0 by construction. The first version read 6.1x chance and meant nothing but 'the grid is finer than the sampling'."
G17,measurement,6,PENDING,ZAPBench held-out prediction of d(dF/F)/dt,"R^2 > 0.268, the parameter-free kNN spatial pool",held-out R^2,,SKIP,,,
G18,measurement,6,PENDING,the learned stimulus gain b_i is spatially structured,"Moran's I > 0.2 over the soma graph, against a permutation null",Moran's I,,SKIP,,,
G19,measurement,6,PENDING,fitted calcium decay time constant,0.5 - 2 s (GCaMP6),seconds,,SKIP,,,
G20,measurement,7,PENDING,redox field fit reproduces the washout response,"THRESHOLD TO BE FIXED from Development_Time_Trend.xlsx, before the run",minutes and sign,,SKIP,,,
G21,closed_form,2,PENDING,the coarse field is the rule it claims,phase speed within 5% of lambda/period,fraction of lambda/period,0.0124142,PASS,/workspace/Plexus/prototype/graphcast/log/toy_counter_noed_simple_p1_free/G21_field.mp4,"measured 0.158 cells/frame vs 0.160 expected, 251 recorded frames","The spec says a wave travels left to right at lambda over T. This checks that the field actually written does. It projects the recorded field onto the known wavelength, unwraps the phase and measures the drift per frame. It catches a field that is static, identically zero, or moving at the wrong speed -- an earlier toy ran three generations with a stimulus field of exactly zero, because the operator read a clock that nothing was writing. The estimator had to be sharpened twice: argmax on a 128-cell grid quantises to whole cells while the wave moves half a cell per frame, and an integer FFT bin then biased the speed by exactly 6.67/7. An estimator has to be sharper than the threshold it is judged against."
G22,closed_form,2,PENDING,the fine rule is recoverable from state and gradient,minimum per-node R^2 > 0.90,"R^2, worst node",0.638027,FAIL,/workspace/Plexus/prototype/graphcast/log/toy_counter_noed_simple_p1_free/G22_identifiability.png,"mean 0.9839, median 0.9922","Before asking a model to learn dv from the state and the field gradient, check that dv IS a function of them. A per-node linear regression of dv on (v, grad u), reporting the WORST node rather than the mean -- because a mean of 0.98 can hide a third of the nodes at zero, and that is exactly what happened when 58.8% of nodes sat outside the field domain where sampling clamps and the gradient is identically zero."
G23,closed_form,2,PENDING,the gradient is reconstructible from neighbours,"R^2 > 0.95, else the graph cannot carry the fine rule",R^2,1,PASS,/workspace/Plexus/prototype/graphcast/log/toy_counter_noed_simple_p1_free/G22_identifiability.png,worst node 1.0000,"The model has to build the field gradient out of its neighbours; this checks that doing so is possible at all. It regresses the true gradient at each node on the differences between its neighbours' states and its own. If it fails, no message-passing model can learn the fine rule and nothing downstream of it means anything."
G24,closed_form,2,PENDING,the heterogeneity is linearly readable,"corr(fitted gain, true g_i) > 0.90",Pearson correlation,0.995917,PASS,/workspace/Plexus/prototype/graphcast/log/toy_counter_noed_simple_p1_free/G24_heterogeneity.png,fitted/true gain ratio 1.038 (1.0 == exact),"The signed gain g_i is what the embedding must carry, so it has to be present in the data before any model is asked to find it. From the same per-node regression as G22, the coefficient on the gradient IS dt times g_i; this correlates it against the truth. The fitted-to-true ratio should be 1.0 and reads 1.03, the residual being the finite-difference step against the sampled field rather than the analytic one."
G25,closed_form,2,PENDING,connected nodes are not collinear,mean |corr| between connected nodes < 0.80,Pearson correlation,0.575952,PASS,/workspace/Plexus/prototype/graphcast/log/toy_counter_noed_simple_p1_free/G22_identifiability.png,max 1.000 over 333 sampled edges,"If a node's neighbours are near-copies of it, their states carry nothing it does not already have and the graph is decoration. This measures the mean absolute correlation between the time series of connected nodes. It caught a real defect: at wavelength 0.5 a twelve-neighbour ball spans only 0.5 radians of phase, the measure read 0.84, and that is why an earlier fit drove the loss to 0.005 while recovering none of the mechanism. Shortening to 0.15 moved it to 0.61."
G26,closed_form,2,PENDING,the graph is NECESSARY: a node-local baseline cannot fit,"node-local R^2 < 0.50 while (v, grad u) exceeds 0.90",R^2 of a node-local predictor,0.999994,FAIL,/workspace/Plexus/prototype/graphcast/log/toy_counter_noed_simple_p1_free/G26_necessity.png,"coarse rule 'counter', drive observed; node-local mean 1.000, neighbour-informed mean 0.984","The strongest of the data gates and the one that would have caught the travelling-wave defect directly. A deliberately generous node-local baseline -- four lags of the node's own state, plus its own drive where observed, and NO neighbour -- must FAIL where the neighbour-informed fit succeeds. It is generous on purpose: the gate is only informative if the thing it rules out was given every chance. It catches a test bed whose fine rule is solvable without the graph at all, which is the case for any u = f(x - ct), since there du/dx = -(1/c) du/dt. It is currently FAILING at about 1.000 on all three coarse rules, and the reason is more general than the coarse rule: a linear per-node ODE driven by a smooth quasi-periodic field is autoregressively predictable from its own history whatever drives it, so no choice of field can rescue a fine rule that is locally solvable."
G27,closed_form,6,PENDING,which coarse rule forces the graph,"the three toys ranked by G26; reported, not tuned",spread in node-local R^2 across the three coarse rules,,SKIP,,,"Ranks the three coarse rules by G26 and reports the spread. Explicitly not a tuning target: the point is to learn which rule makes the graph necessary, and a rule that only passes after being adjusted until it passes has told us nothing. G12, which scored the embedding against 65 types on a flyvis-scale toy, was removed when that toy was dropped from the plan."
